City,Hotel_Name,Url,Website_Rank,Availablity_Page_Number,Search_Time_Stamp
paris hotels,https://www.booking.com › France › Ile de France › Visit Paris,https://www.booking.com › France › Ile de France › Visit Paris,1,1,0:00:20.189583
paris hotels,https://www.booking.com › Cheap hotels › France › Ile de France › Visit Paris,https://www.booking.com › Cheap hotels › France › Ile de France › Visit Paris,2,1,0:00:20.261586
paris hotels,https://www.tripadvisor.in/Hotels-g187147-Paris_Ile_de_France-Hotels.html,https://www.tripadvisor.in/Hotels-g187147-Paris_Ile_de_France-Hotels.html,3,1,0:00:20.348589
paris hotels,https://www.makemytrip.com/hotels-international/france/paris-hotels/,https://www.makemytrip.com/hotels-international/france/paris-hotels/,4,1,0:00:20.440596
paris hotels,https://www.trivago.in › France › Île-de-France,https://www.trivago.in › France › Île-de-France,5,1,0:00:20.553603
paris hotels,https://www.expedia.co.in › Hotels › Europe › France › Ile-de-France › Paris,https://www.expedia.co.in › Hotels › Europe › France › Ile-de-France › Paris,6,1,0:00:20.625606
paris hotels,https://www.hotels.com › Hotels in France,https://www.hotels.com › Hotels in France,7,1,0:00:20.688610
paris hotels,https://www.goibibo.com › Hotel Booking › International › France,https://www.goibibo.com › Hotel Booking › International › France,8,1,0:00:20.751612
paris hotels,https://www.hotelscombined.com › France › Ile-de-France,https://www.hotelscombined.com › France › Ile-de-France,9,1,0:00:20.822617
paris hotels,https://www.agoda.com › France Hotels › Ile-de-France Hotels,https://www.agoda.com › France Hotels › Ile-de-France Hotels,10,1,0:00:20.892621
paris hotels,,,11,1,0:00:20.981625
paris hotels,,,12,1,0:00:21.040630
paris hotels,,,13,1,0:00:21.095631
paris hotels,,,14,1,0:00:21.149635
paris hotels,https://www.kayak.com › Hotels › France › Ile-de-France,https://www.kayak.com › Hotels › France › Ile-de-France,15,2,0:00:33.987537
paris hotels,https://travel.usnews.com › Hotels › France,https://travel.usnews.com › Hotels › France,16,2,0:00:34.230551
paris hotels,https://www.laterooms.com › Europe › France › Île-de-France › Paris Hotels,https://www.laterooms.com › Europe › France › Île-de-France › Paris Hotels,17,2,0:00:34.319558
paris hotels,https://www.lastminute.com › Hotels › Europe › France › Ile-de-France,https://www.lastminute.com › Hotels › Europe › France › Ile-de-France,18,2,0:00:34.859587
paris hotels,https://www.marriott.com/hotel-search/paris.hotels.france.travel/,https://www.marriott.com/hotel-search/paris.hotels.france.travel/,19,2,0:00:34.926592
paris hotels,https://santorinidave.com/best-hotels-paris,https://santorinidave.com/best-hotels-paris,20,2,0:00:34.992595
paris hotels,https://www.accorhotels.com › ... › Mercure Paris Centre Eiffel Tower Hotel,https://www.accorhotels.com › ... › Mercure Paris Centre Eiffel Tower Hotel,21,2,0:00:35.067599
paris hotels,https://www.oyster.com/paris/hotels/,https://www.oyster.com/paris/hotels/,22,2,0:00:35.144603
paris hotels,https://www.cntraveller.com/gallery/best-paris-hotels,https://www.cntraveller.com/gallery/best-paris-hotels,23,2,0:00:35.238610
paris hotels,https://www.telegraph.co.uk › Travel › Destinations › Europe › France › Paris,https://www.telegraph.co.uk › Travel › Destinations › Europe › France › Paris,24,2,0:00:35.315615
